Episode 47, Score: 13.0, eps: 0.01
Episode 48, Score: 7.0, eps: 0.01
Episode 49, Score: 10.0, eps: 0.01
Episode 50, Score: 8.0, eps: 0.01
Episode 51, Score: 9.0, eps: 0.01
Episode 52, Score: 11.0, eps: 0.01
Episode 53, Score: 6.0, eps: 0.01
Episode 54, Score: 11.0, eps: 0.01
Episode 55, Score: 11.0, eps: 0.01
Episode 56, Score: 14.0, eps: 0.01
Episode 57, Score: 0.0, eps: 0.01
Episode 58, Score: 13.0, eps: 0.01
Episode 59, Score: 14.0, eps: 0.01
Episode 60, Score: 14.0, eps: 0.01
Episode 61, Score: 10.0, eps: 0.01
Episode 62, Score: 14.0, eps: 0.01
Episode 63, Score: 9.0, eps: 0.01
Episode 64, Score: 7.0, eps: 0.01
Episode 65, Score: 3.0, eps: 0.01
Episode 66, Score: 2.0, eps: 0.01
Episode 67, Score: 7.0, eps: 0.01
Episode 68, Score: 12.0, eps: 0.01
Episode 69, Score: 9.0, eps: 0.01
Episode 70, Score: 14.0, eps: 0.01
Episode 71, Score: 15.0, eps: 0.01
Episode 72, Score: 11.0, eps: 0.01
Episode 73, Score: 11.0, eps: 0.01
Episode 74, Score: 6.0, eps: 0.01
Episode 75, Score: 1.0, eps: 0.01
Episode 76, Score: 6.0, eps: 0.01
Episode 77, Score: 13.0, eps: 0.01
Episode 78, Score: 15.0, eps: 0.01
Episode 79, Score: 19.0, eps: 0.01
Episode 80, Score: 4.0, eps: 0.01
Episode 81, Score: -1.0, eps: 0.01
Episode 82, Score: 14.0, eps: 0.01
Episode 83, Score: 5.0, eps: 0.01
Episode 84, Score: 19.0, eps: 0.01
Episode 85, Score: 17.0, eps: 0.01
Episode 86, Score: 9.0, eps: 0.01
Episode 87, Score: 17.0, eps: 0.01
Episode 88, Score: 9.0, eps: 0.01
Episode 89, Score: 2.0, eps: 0.01
Episode 90, Score: 11.0, eps: 0.01
Episode 91, Score: 14.0, eps: 0.01
Episode 92, Score: 11.0, eps: 0.01
Episode 93, Score: 9.0, eps: 0.01
Episode 94, Score: 5.0, eps: 0.01
Episode 95, Score: 5.0, eps: 0.01
Episode 96, Score: 7.0, eps: 0.01
Episode 97, Score: 5.0, eps: 0.01
Episode 98, Score: 13.0, eps: 0.01
Episode 99, Score: 17.0, eps: 0.01
Episode 100, Score: 13.0, eps: 0.01
Episode 101, Score: 8.0, eps: 0.01
Episode 102, Score: 10.0, eps: 0.01
Episode 103, Score: 19.0, eps: 0.01
Episode 104, Score: 12.0, eps: 0.01
Episode 105, Score: 13.0, eps: 0.01
Episode 106, Score: 19.0, eps: 0.01
Episode 107, Score: 12.0, eps: 0.01
Episode 108, Score: 11.0, eps: 0.01
Episode 109, Score: 4.0, eps: 0.01
Episode 110, Score: 12.0, eps: 0.01
Episode 111, Score: 13.0, eps: 0.01
Episode 112, Score: 10.0, eps: 0.01
Episode 113, Score: 17.0, eps: 0.01
Episode 114, Score: 3.0, eps: 0.01
Episode 115, Score: 13.0, eps: 0.01
Episode 116, Score: 9.0, eps: 0.01
Episode 117, Score: 17.0, eps: 0.01
Episode 118, Score: 16.0, eps: 0.01
Episode 119, Score: 12.0, eps: 0.01
Episode 120, Score: 15.0, eps: 0.01
Episode 121, Score: 14.0, eps: 0.01
Episode 122, Score: 16.0, eps: 0.01
Episode 123, Score: 12.0, eps: 0.01
Episode 124, Score: 6.0, eps: 0.01
Episode 125, Score: 19.0, eps: 0.01
Episode 126, Score: 16.0, eps: 0.01
Episode 127, Score: 14.0, eps: 0.01
Episode 128, Score: 15.0, eps: 0.01
Episode 129, Score: 10.0, eps: 0.01
Episode 130, Score: 14.0, eps: 0.01
Episode 131, Score: 8.0, eps: 0.01
Episode 132, Score: 8.0, eps: 0.01
Episode 133, Score: 9.0, eps: 0.01
Episode 134, Score: 15.0, eps: 0.01
Episode 135, Score: 13.0, eps: 0.01
Episode 136, Score: 12.0, eps: 0.01
Episode 137, Score: 15.0, eps: 0.01
Episode 138, Score: 16.0, eps: 0.01
Episode 139, Score: 11.0, eps: 0.01
Episode 140, Score: 14.0, eps: 0.01
Episode 141, Score: 13.0, eps: 0.01
Episode 142, Score: 14.0, eps: 0.01
Episode 143, Score: 3.0, eps: 0.01
Episode 144, Score: 10.0, eps: 0.01
Episode 145, Score: 7.0, eps: 0.01
Episode 146, Score: 19.0, eps: 0.01
Episode 147, Score: 11.0, eps: 0.01
Episode 148, Score: 21.0, eps: 0.01
Episode 149, Score: 17.0, eps: 0.01
Episode 150, Score: 12.0, eps: 0.01
Episode 151, Score: 19.0, eps: 0.01
Episode 152, Score: 14.0, eps: 0.01
Episode 153, Score: 16.0, eps: 0.01
Episode 154, Score: 11.0, eps: 0.01
Episode 155, Score: 11.0, eps: 0.01
Episode 156, Score: 17.0, eps: 0.01
Episode 157, Score: 13.0, eps: 0.01
Episode 158, Score: 19.0, eps: 0.01
Episode 159, Score: 14.0, eps: 0.01
Episode 160, Score: 12.0, eps: 0.01
Episode 161, Score: 11.0, eps: 0.01
Episode 162, Score: 16.0, eps: 0.01
Episode 163, Score: 14.0, eps: 0.01
Episode 164, Score: 8.0, eps: 0.01
Episode 165, Score: 4.0, eps: 0.01
Episode 166, Score: 7.0, eps: 0.01
Episode 167, Score: 20.0, eps: 0.01
Episode 168, Score: 9.0, eps: 0.01
Episode 169, Score: 14.0, eps: 0.01
Episode 170, Score: 11.0, eps: 0.01
Episode 171, Score: 9.0, eps: 0.01
Episode 172, Score: 16.0, eps: 0.01
Episode 173, Score: 11.0, eps: 0.01
Episode 174, Score: 9.0, eps: 0.01
Episode 175, Score: 7.0, eps: 0.01
Episode 176, Score: 11.0, eps: 0.01
Episode 177, Score: 14.0, eps: 0.01
Episode 178, Score: 13.0, eps: 0.01
Episode 179, Score: 9.0, eps: 0.01
Episode 180, Score: 13.0, eps: 0.01
Episode 181, Score: 6.0, eps: 0.01
Episode 182, Score: 6.0, eps: 0.01
Episode 183, Score: 14.0, eps: 0.01
Episode 184, Score: 13.0, eps: 0.01
Episode 185, Score: 14.0, eps: 0.01
Episode 186, Score: 13.0, eps: 0.01
Episode 187, Score: 17.0, eps: 0.01
Episode 188, Score: 19.0, eps: 0.01
Episode 189, Score: 5.0, eps: 0.01
Episode 190, Score: 18.0, eps: 0.01
Episode 191, Score: 13.0, eps: 0.01
Episode 192, Score: 14.0, eps: 0.01
Episode 193, Score: 18.0, eps: 0.01
Episode 194, Score: 14.0, eps: 0.01
Episode 195, Score: 11.0, eps: 0.01
Episode 196, Score: 13.0, eps: 0.01
Episode 197, Score: 5.0, eps: 0.01
Episode 198, Score: 11.0, eps: 0.01
Episode 199, Score: 16.0, eps: 0.01
Episode 200, Score: 9.0, eps: 0.01
Episode 201, Score: 15.0, eps: 0.01
Episode 202, Score: 14.0, eps: 0.01
Episode 203, Score: 10.0, eps: 0.01
Episode 204, Score: 10.0, eps: 0.01
Episode 205, Score: 12.0, eps: 0.01
Episode 206, Score: 12.0, eps: 0.01
Episode 207, Score: 12.0, eps: 0.01
Episode 208, Score: 16.0, eps: 0.01
Episode 209, Score: 12.0, eps: 0.01
Episode 210, Score: 17.0, eps: 0.01
Episode 211, Score: 6.0, eps: 0.01
Episode 212, Score: 12.0, eps: 0.01
Episode 213, Score: 11.0, eps: 0.01
Episode 214, Score: 7.0, eps: 0.01
Episode 215, Score: 17.0, eps: 0.01
Episode 216, Score: 18.0, eps: 0.01
Episode 217, Score: 15.0, eps: 0.01
Episode 218, Score: 17.0, eps: 0.01
Episode 219, Score: 16.0, eps: 0.01
Episode 220, Score: 12.0, eps: 0.01
Episode 221, Score: 15.0, eps: 0.01
Episode 222, Score: 9.0, eps: 0.01
Episode 223, Score: 17.0, eps: 0.01
Episode 224, Score: 14.0, eps: 0.01
Episode 225, Score: 11.0, eps: 0.01
Episode 226, Score: 15.0, eps: 0.01
Episode 227, Score: 11.0, eps: 0.01
Episode 228, Score: 18.0, eps: 0.01
Episode 229, Score: 14.0, eps: 0.01
Episode 230, Score: 16.0, eps: 0.01
Episode 231, Score: 11.0, eps: 0.01
Episode 232, Score: 14.0, eps: 0.01
Episode 233, Score: 12.0, eps: 0.01
Episode 234, Score: 20.0, eps: 0.01
Episode 235, Score: 11.0, eps: 0.01
Episode 236, Score: 17.0, eps: 0.01
Episode 237, Score: 10.0, eps: 0.01
Episode 238, Score: 16.0, eps: 0.01
Episode 239, Score: 15.0, eps: 0.01
Episode 240, Score: 15.0, eps: 0.01
Episode 241, Score: 15.0, eps: 0.01
