Episode 144, Score: 6.0, eps: 0.01
Episode 145, Score: 2.0, eps: 0.01
Episode 146, Score: 3.0, eps: 0.01
Episode 147, Score: 9.0, eps: 0.01
Episode 148, Score: 12.0, eps: 0.01
Episode 149, Score: 2.0, eps: 0.01
Episode 150, Score: 7.0, eps: 0.01
Episode 151, Score: 10.0, eps: 0.01
Episode 152, Score: 8.0, eps: 0.01
Episode 153, Score: 4.0, eps: 0.01
Episode 154, Score: 4.0, eps: 0.01
Episode 155, Score: 3.0, eps: 0.01
Episode 156, Score: 3.0, eps: 0.01
Episode 157, Score: 6.0, eps: 0.01
Episode 158, Score: 5.0, eps: 0.01
Episode 159, Score: 6.0, eps: 0.01
Episode 160, Score: 2.0, eps: 0.01
Episode 161, Score: 12.0, eps: 0.01
Episode 162, Score: 9.0, eps: 0.01
Episode 163, Score: 10.0, eps: 0.01
Episode 164, Score: 11.0, eps: 0.01
Episode 165, Score: 8.0, eps: 0.01
Episode 166, Score: 4.0, eps: 0.01
Episode 167, Score: 7.0, eps: 0.01
Episode 168, Score: 13.0, eps: 0.01
Episode 169, Score: 7.0, eps: 0.01
Episode 170, Score: 3.0, eps: 0.01
Episode 171, Score: 5.0, eps: 0.01
Episode 172, Score: 1.0, eps: 0.01
Episode 173, Score: 2.0, eps: 0.01
Episode 174, Score: 0.0, eps: 0.01
Episode 175, Score: 1.0, eps: 0.01
Episode 176, Score: 7.0, eps: 0.01
Episode 177, Score: 9.0, eps: 0.01
Episode 178, Score: 4.0, eps: 0.01
Episode 179, Score: 9.0, eps: 0.01
Episode 180, Score: 0.0, eps: 0.01
Episode 181, Score: 7.0, eps: 0.01
Episode 182, Score: 10.0, eps: 0.01
Episode 183, Score: 8.0, eps: 0.01
Episode 184, Score: 8.0, eps: 0.01
Episode 185, Score: 10.0, eps: 0.01
Episode 186, Score: 13.0, eps: 0.01
Episode 187, Score: 11.0, eps: 0.01
Episode 188, Score: 5.0, eps: 0.01
Episode 189, Score: -1.0, eps: 0.01
Episode 190, Score: 7.0, eps: 0.01
Episode 191, Score: 16.0, eps: 0.01
Episode 192, Score: 5.0, eps: 0.01
Episode 193, Score: 9.0, eps: 0.01
Episode 194, Score: 7.0, eps: 0.01
Episode 195, Score: 3.0, eps: 0.01
Episode 196, Score: 1.0, eps: 0.01
Episode 197, Score: 7.0, eps: 0.01
Episode 198, Score: 4.0, eps: 0.01
Episode 199, Score: 4.0, eps: 0.01
Episode 200, Score: 8.0, eps: 0.01
Episode 201, Score: 8.0, eps: 0.01
Episode 202, Score: 4.0, eps: 0.01
Episode 203, Score: 6.0, eps: 0.01
Episode 204, Score: 1.0, eps: 0.01
Episode 205, Score: 4.0, eps: 0.01
Episode 206, Score: 5.0, eps: 0.01
Episode 207, Score: 8.0, eps: 0.01
Episode 208, Score: 5.0, eps: 0.01
Episode 209, Score: 10.0, eps: 0.01
Episode 210, Score: 12.0, eps: 0.01
Episode 211, Score: 12.0, eps: 0.01
Episode 212, Score: 5.0, eps: 0.01
Episode 213, Score: 8.0, eps: 0.01
Episode 214, Score: 5.0, eps: 0.01
Episode 215, Score: 9.0, eps: 0.01
Episode 216, Score: 11.0, eps: 0.01
Episode 217, Score: 12.0, eps: 0.01
Episode 218, Score: 2.0, eps: 0.01
Episode 219, Score: 11.0, eps: 0.01
Episode 220, Score: 7.0, eps: 0.01
Episode 221, Score: 5.0, eps: 0.01
Episode 222, Score: 7.0, eps: 0.01
Episode 223, Score: 13.0, eps: 0.01
Episode 224, Score: 8.0, eps: 0.01
Episode 225, Score: 10.0, eps: 0.01
Episode 226, Score: 10.0, eps: 0.01
Episode 227, Score: 7.0, eps: 0.01
Episode 228, Score: 5.0, eps: 0.01
Episode 229, Score: 5.0, eps: 0.01
Episode 230, Score: 5.0, eps: 0.01
Episode 231, Score: 12.0, eps: 0.01
Episode 232, Score: 7.0, eps: 0.01
Episode 233, Score: 13.0, eps: 0.01
Episode 234, Score: 9.0, eps: 0.01
Episode 235, Score: 11.0, eps: 0.01
Episode 236, Score: 12.0, eps: 0.01
Episode 237, Score: 8.0, eps: 0.01
Episode 238, Score: 11.0, eps: 0.01
Episode 239, Score: 5.0, eps: 0.01
Episode 240, Score: 9.0, eps: 0.01
Episode 241, Score: 11.0, eps: 0.01
Episode 242, Score: 5.0, eps: 0.01
Episode 243, Score: 12.0, eps: 0.01
Episode 244, Score: 18.0, eps: 0.01
Episode 245, Score: 14.0, eps: 0.01
Episode 246, Score: 0.0, eps: 0.01
Episode 247, Score: 9.0, eps: 0.01
Episode 248, Score: 9.0, eps: 0.01
Episode 249, Score: 3.0, eps: 0.01
Episode 250, Score: 10.0, eps: 0.01
Episode 251, Score: 6.0, eps: 0.01
Episode 252, Score: 10.0, eps: 0.01
Episode 253, Score: 8.0, eps: 0.01
Episode 254, Score: 7.0, eps: 0.01
Episode 255, Score: 11.0, eps: 0.01
Episode 256, Score: 12.0, eps: 0.01
Episode 257, Score: 10.0, eps: 0.01
Episode 258, Score: -1.0, eps: 0.01
Episode 259, Score: 7.0, eps: 0.01
Episode 260, Score: 15.0, eps: 0.01
Episode 261, Score: 12.0, eps: 0.01
Episode 262, Score: 11.0, eps: 0.01
Episode 263, Score: 17.0, eps: 0.01
Episode 264, Score: 13.0, eps: 0.01
Episode 265, Score: 9.0, eps: 0.01
Episode 266, Score: 10.0, eps: 0.01
Episode 267, Score: 13.0, eps: 0.01
Episode 268, Score: 10.0, eps: 0.01
Episode 269, Score: 3.0, eps: 0.01
Episode 270, Score: 9.0, eps: 0.01
Episode 271, Score: 0.0, eps: 0.01
Episode 272, Score: 11.0, eps: 0.01
Episode 273, Score: 7.0, eps: 0.01
Episode 274, Score: 8.0, eps: 0.01
Episode 275, Score: 11.0, eps: 0.01
Episode 276, Score: 9.0, eps: 0.01
Episode 277, Score: 10.0, eps: 0.01
Episode 278, Score: 9.0, eps: 0.01
Episode 279, Score: 14.0, eps: 0.01
Episode 280, Score: 4.0, eps: 0.01
Episode 281, Score: 6.0, eps: 0.01
Episode 282, Score: 7.0, eps: 0.01
Episode 283, Score: 16.0, eps: 0.01
Episode 284, Score: 14.0, eps: 0.01
Episode 285, Score: 9.0, eps: 0.01
Episode 286, Score: 11.0, eps: 0.01
Episode 287, Score: 4.0, eps: 0.01
Episode 288, Score: 11.0, eps: 0.01
Episode 289, Score: 9.0, eps: 0.01
Episode 290, Score: 12.0, eps: 0.01
Episode 291, Score: 3.0, eps: 0.01
Episode 292, Score: 6.0, eps: 0.01
Episode 293, Score: 15.0, eps: 0.01
Episode 294, Score: 2.0, eps: 0.01
Episode 295, Score: 12.0, eps: 0.01
Episode 296, Score: 15.0, eps: 0.01
Episode 297, Score: 13.0, eps: 0.01
Episode 298, Score: 15.0, eps: 0.01
Episode 299, Score: 9.0, eps: 0.01
Episode 300, Score: 11.0, eps: 0.01
Episode 301, Score: 14.0, eps: 0.01
Episode 302, Score: 13.0, eps: 0.01
Episode 303, Score: 16.0, eps: 0.01
Episode 304, Score: 12.0, eps: 0.01
Episode 305, Score: 6.0, eps: 0.01
Episode 306, Score: 7.0, eps: 0.01
Episode 307, Score: 9.0, eps: 0.01
Episode 308, Score: 8.0, eps: 0.01
Episode 309, Score: 10.0, eps: 0.01
Episode 310, Score: 7.0, eps: 0.01
Episode 311, Score: 14.0, eps: 0.01
Episode 312, Score: 10.0, eps: 0.01
Episode 313, Score: 11.0, eps: 0.01
Episode 314, Score: 9.0, eps: 0.01
Episode 315, Score: 13.0, eps: 0.01
Episode 316, Score: 6.0, eps: 0.01
Episode 317, Score: 16.0, eps: 0.01
Episode 318, Score: 15.0, eps: 0.01
Episode 319, Score: 13.0, eps: 0.01
Episode 320, Score: 9.0, eps: 0.01
Episode 321, Score: 6.0, eps: 0.01
Episode 322, Score: 16.0, eps: 0.01
Episode 323, Score: 14.0, eps: 0.01
Episode 324, Score: 13.0, eps: 0.01
Episode 325, Score: 2.0, eps: 0.01
Episode 326, Score: 3.0, eps: 0.01
Episode 327, Score: 8.0, eps: 0.01
Episode 328, Score: 8.0, eps: 0.01
Episode 329, Score: 14.0, eps: 0.01
Episode 330, Score: 14.0, eps: 0.01
Episode 331, Score: 5.0, eps: 0.01
Episode 332, Score: 1.0, eps: 0.01
Episode 333, Score: 6.0, eps: 0.01
Episode 334, Score: 1.0, eps: 0.01
Episode 335, Score: 10.0, eps: 0.01
Episode 336, Score: 11.0, eps: 0.01
Episode 337, Score: 11.0, eps: 0.01
Episode 338, Score: 15.0, eps: 0.01
Episode 339, Score: 12.0, eps: 0.01
Episode 340, Score: 15.0, eps: 0.01
Episode 341, Score: 8.0, eps: 0.01
Episode 342, Score: 9.0, eps: 0.01
Episode 343, Score: 4.0, eps: 0.01
Episode 344, Score: 6.0, eps: 0.01
Episode 345, Score: 9.0, eps: 0.01
Episode 346, Score: 10.0, eps: 0.01
Episode 347, Score: 19.0, eps: 0.01
Episode 348, Score: 11.0, eps: 0.01
Episode 349, Score: 2.0, eps: 0.01
Episode 350, Score: 8.0, eps: 0.01
Episode 351, Score: 17.0, eps: 0.01
Episode 352, Score: 11.0, eps: 0.01
Episode 353, Score: 8.0, eps: 0.01
Episode 354, Score: 6.0, eps: 0.01
Episode 355, Score: 1.0, eps: 0.01
Episode 356, Score: 13.0, eps: 0.01
Episode 357, Score: 9.0, eps: 0.01
Episode 358, Score: 16.0, eps: 0.01
Episode 359, Score: 14.0, eps: 0.01
Episode 360, Score: 10.0, eps: 0.01
Episode 361, Score: 17.0, eps: 0.01
Episode 362, Score: 7.0, eps: 0.01
Episode 363, Score: 12.0, eps: 0.01
Episode 364, Score: 13.0, eps: 0.01
Episode 365, Score: 14.0, eps: 0.01
Episode 366, Score: 16.0, eps: 0.01
Episode 367, Score: 2.0, eps: 0.01
Episode 368, Score: 17.0, eps: 0.01
Episode 369, Score: 3.0, eps: 0.01
Episode 370, Score: 13.0, eps: 0.01
Episode 371, Score: 6.0, eps: 0.01
Episode 372, Score: 20.0, eps: 0.01
Episode 373, Score: 9.0, eps: 0.01
Episode 374, Score: 13.0, eps: 0.01
